document_id,filename,title,source,confidence,needs_review
58fe21359f9caba5,000016.pdf,CASCADE BILBERRY,pdf_metadata,high,no
98887d138becb7b8,000020.pdf,WESTERN SAND & GRAVEL V. SOL (MSHA) (93020298),pdf_metadata,high,no
577e18f09281eea3,000021.pdf,WESTERN SAND & GRAVEL V. SOL (MSHA) (93020312),pdf_metadata,high,no
c6df45d7788b8473,000025.pdf,BLACK HUCKLEBERRY,pdf_metadata,high,no
bdd62b32cf5211cd,000142.pdf,"Minding the 3R's - Protecting Connecticut's Resources Through Response, Restoration, Remediation",pdf_metadata,high,no
823321cb76913c61,000147.pdf,"SEC News Digest, 07-14-1961",pdf_metadata,high,no
b7f8ffae8ccd7c58,000149.pdf,Oil Spills in Mangroves: Chapter 3,pdf_metadata,high,no
11c83236ca2a595a,000150.pdf,Post Mortem of 120k mi Light-Duty Urea SCR and DPF System,pdf_metadata,high,no
1e4a0b0010051cc2,000153.pdf,Shoreline Countermeasures Manual: Tropical Coastal Environments,pdf_metadata,high,no
b8ecadbfcdb9f4ef,000163.pdf,Coastal Services Magazine Volume 11_6 November/December,pdf_metadata,high,no
b93260f763d014ac,000168.pdf,"Chapter 17, Bacteria: Indicators of Potential Pathogens,Voluntary Estuary Monitoring Manual, March 2006",pdf_metadata,high,no
3443c4a45a8b57b0,000187.pdf,International Land Reclamation and Mine Drainage Conference and Third International Conference on the Abatement of Acidic Drainage Volume 2 of 4: Mine Drainage,pdf_metadata,high,no
beed8503f24d6580,000266.pdf,Development and Testing of a Novel Coal Preheating Technology for NOx Reduction from Pulverized Coal-Fired Boilers,pdf_metadata,high,no
c09898bf4ab58a9d,000280.pdf,Design of Transport Casks with Depleted Uranium Gamma Shield and Advanced Safety,pdf_metadata,high,no
6885cb45c5f01efd,000282.pdf,Evaluation of Technology Modifications Required to Apply Clean Coal Technologies in Russian Utilities Dec 1995 (4071k),pdf_metadata,high,no
9d2cc79506c446c1,000314.pdf,Paper 19. Author Biographies,pdf_outline,medium,yes
24e9f1802a4ae129,000316.pdf,Development and Attestation of Gamma-Ray Measurement Methodologies for use by Rostekhnadzor Inspectors in the Russian Federation,pdf_metadata,high,no
15a48d55c7a98f4f,000324.pdf,The experimental investigation of the modification of extinguishing and physical characteristics propertyes of condenced aer,pdf_metadata,high,no
21ba59de566867cf,000325.pdf,Project Descriptions,pdf_outline,medium,yes
3032fca5fbdc80a0,000331.pdf,Tropical Cyclone Report,pdf_metadata,high,no
b8dccae7f2515322,000333.pdf,"Y/NSP-407, Certification of U.S. Instrumentation in Russian Nuclear Processing Facilities",pdf_metadata,high,no
18922698b2e48adf,000334.pdf,Papers of Felix Frankfurter [finding aid]. Library of Congress. [PDF rendered 2005-12-06.111932.71],pdf_metadata,high,no
3ab24cb9e2ca8ca5,000337.pdf,New AFO Poster-2-06-07,pdf_metadata,high,no
422e6d76d26f2115,000338.pdf,State of the Climate in 2005,pdf_metadata,high,no
cb3536e7070a8a08,000341.pdf,From Grains to Meat: New Focus for Russian Ag Imports,pdf_metadata,high,no
